timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
4870,487,0,a338,DL,4,16.00,16,153,151,15,0,1,204.34,0.35,0.1000,0,6
4889,488,9,a338,DL,2,8.00,0,4,2,15,0,1,168.82,0.42,0.1000,0,1
4906,490,6,a338,DL,2,8.00,1,7,4,14,0,1,142.31,0.43,0.1000,0,2
4914,491,4,a338,DL,2,8.00,11,41,37,14,0,1,131.31,0.47,0.1000,0,2
4930,493,0,a338,DL,2,8.00,11,41,37,14,0,1,111.81,0.55,0.1000,0,2
4941,494,1,a338,DL,2,8.00,1,7,4,14,0,1,100.11,0.62,0.1000,0,5
4967,496,7,a338,DL,2,8.00,0,4,2,15,0,1,77.09,0.71,0.1000,0,7
8749,874,9,b7fb,DL,2,8.00,0,4,2,15,0,1,132.28,16.15,3.0000,0,5
209,20,9,a338,DL,2,8.00,0,4,2,15,0,1,10.00,0.71,0.1000,0,1
3011,301,1,6da7,DL,2,8.00,0,4,2,15,0,1,129.42,16.50,3.0000,0,3
3338,333,8,6a9d,DL,4,16.00,0,11,2,0,0,1,770.04,0.13,3.0000,2,2
3359,335,9,6a9d,DL,14,56.00,0,47,44,0,0,1,623.53,0.16,3.0000,2,7
3360,336,0,6a9d,DL,2,8.00,0,4,0,0,0,1,617.29,0.16,3.0000,2,0
